ITEM,ENGLISH,VIETNAMESE
Menu.new_game,NEW GAME,BẮT ĐẦU
Menu.load_game,LOAD GAME,TIẾP TỤC
Menu.settings,SETTINGS,CÀI ĐẶT
Menu.help,HELP,HỖ TRỢ
Menu.about_us,ABOUT US,GIỚI THIỆU
Menu.exit,EXIT,THOÁT
Mode.mode_game,MODE GAME,CHẾ ĐỘ CHƠI
Mode.pvp,PVP,BẠN
Mode.pve,PVE,MÁY
Difficulty.select_difficulty,SELECT DIFFICULTY,CHỌN ĐỘ KHÓ
Difficulty.easy,EASY,DỄ
Difficulty.beginner_friendly,Beginner Friendly,Phù hợp cho người mới
Difficulty.bot_moves_randomly,Bot moves randomly,Máy đi ngẫu nhiên
Difficulty.great_for_beginners,Great for beginners,Rất hợp cho khởi đầu
Difficulty.relax_and_have_fun,Relax and have fun!,Thư giãn và tận hưởng!
Difficulty.hard,HARD,KHÓ
Difficulty.true_challenge,True Challenge,Thử thách thực sự
Difficulty.bot_looks_4_moves_ahead,Bot looks 4 moves ahead,Máy nhìn trước 4 nước
Difficulty.blocks_and_attacks_smart,Blocks and attacks smart,Cản phá và tấn công thông minh
Difficulty.only_for_the_brave,Only for the brave!,Chỉ dành cho người gan dạ!
Difficulty.vs,VS,VS
Difficulty.hint_select_confirm,A/D or CLICK to select ENTER to confirm,A/D hoặc CLICK để chọn ENTER để xác nhận
PlayerSetup.ok,OK,XONG
PlayerSetup.player_1_name,PLAYER 1 NAME,TÊN NGƯỜI CHƠI 1
PlayerSetup.player_2_name,PLAYER 2 NAME,TÊN NGƯỜI CHƠI 2
PlayerSetup.choose_character,CHOOSE CHARACTER,CHỌN NHÂN VẬT
PlayerSetup.knight,KNIGHT,Hiệp sĩ
PlayerSetup.mage,MAGE,Pháp sư
PlayerSetup.archer,ARCHER,Cung thủ
PlayerSetup.bot,BOT,Máy
Settings.title,SETTINGS,CÀI ĐẶT
Settings.audio,AUDIO,ÂM THANH
Settings.bgm,Background Music,Nhạc nền
Settings.sfx,Sound effects,Hiệu ứng 
Settings.language,LANGUAGE,NGÔN NGỮ
Settings.english,ENGLISH,Tiếng Anh
Settings.vietnamese,TIENG VIET,Tiếng Việt
